headline,source,intro,date,datetime
Japan’s Central Bank Drops the Drama and Wins on Rates,Bloomberg,"The Bank of Japan governor needed Friday's interest-rate hike to be boring. By that yardstick, he's notched a win.",24 Jan 2025,2025-01-24
BoJ Governor Ueda discusses policy outlook after interest rate hike,FXStreet,"Bank of Japan (BoJ) Governor Kazuo Ueda addressed the post-policy meeting press conference on Friday, explaining the reasons behind the 25 basis points...",24 Jan 2025,2025-01-24
Bank of Japan raises interest rate to 17-year high,China Daily,"The Bank of Japan (BOJ) on Friday raised its policy interest rate to the highest level in 17 years, marking another step to unwind its long-standing ultra-...",24 Jan 2025,2025-01-24
Asian shares gain after S&P 500 climbs to a record and Bank of Japan raises rate,朝日新聞,HONG KONG--Asian shares advanced Friday after U.S. stocks rose to a record and the Bank of Japan raised its key lending rate.,24 Jan 2025,2025-01-24
"Bank of Japan raises policy rate to 0.5%, highest in 17 years",وكالة أنباء الإمارات,"The Bank of Japan on Friday raised its policy interest rate to 0.5 percent from 0.25 percent, its highest level in about 17 years, reported Kyodo News.",24 Jan 2025,2025-01-24
Bank of Japan raises interest rates to highest level in 17 years,Euronews.com,"The Bank of Japan (BOJ) raised its key interest rate to about 0.5% from 0.25% on Friday, noting that inflation is holding at a desirable target level.",24 Jan 2025,2025-01-24
"Inflation in Japan jumps to 3%, supporting the BOJ's rate-hike case",The Japan Times,"The solid inflation data support the case for the Bank of Japan to raise interest rates on Friday, a move widely anticipated by markets and economists.",24 Jan 2025,2025-01-24
"Bank of Japan raises interest rate to about 0.5%, citing higher wages and inflation",The Times of India,"The Bank of Japan raised its key interest rate to about 0.5% from 0.25% Friday, noting that inflation is holding at a desirable target level.",24 Jan 2025,2025-01-24
"BOJ decides on additional rate hike, more likely to soon follow",朝日新聞,"The Bank of Japan Policy Board decided to hike a key interest rate at its meeting on Jan. 24, the first such increase since July.",24 Jan 2025,2025-01-24
Bank of Japan’s Ueda Leaves Door for Future Rate Hikes Open,Bloomberg.com,Thanks for joining us today for the Bank of Japan interest rate decision and Governor Kazuo Ueda's press conference. Here are the key takeaways.,24 Jan 2025,2025-01-24
Bank of Japan raises interest rates to highest level in 17 years,Financial Times,"The BoJ's decision, by an 8-1 vote, raised the policy rate from 0.25 per cent to its highest level since the 2008 global financial crisis. The move followed...",24 Jan 2025,2025-01-24
"Bank of Japan raises interest rates to highest in 17 years, yen jumps",Reuters,The Bank of Japan raised interest rates on Friday to their highest since the 2008 global financial crisis and revised up its inflation forecasts.,24 Jan 2025,2025-01-24
"Bank of Japan set to raise rates on Friday, report says",The Japan Times,"The move would mark the central bank's first rate hike since July last year, when it increased rates to 0.25%.",23 Jan 2025,2025-01-23
Bank of Japan interest rate decision January 2025 preview,IG,"The Bank of Japan (BoJ) is set to convene its monetary policy meeting on January 23–24, 2025, amid heightened market anticipation of a potential interest rate...",23 Jan 2025,2025-01-23
Tokyo apartment prices retreat in 2024 as market calms,The Japan Times,The decrease — the first in six years — came after prices rose nearly 30% to a record high in 2023 when several luxury condos went up for sale.,23 Jan 2025,2025-01-23
Bank of Japan raises rates to highest in 17 years,BBC,The move comes hours after economic data showed prices rose last month at the fastest pace in 16 months.,23 Jan 2025,2025-01-23
Japan Interest Rate Hike - Black Swan Panic Event Incoming?,The Market Oracle ::,Japan facing with a wage price spiral with wages expected to rise by 4.5% during 2025 will raise interest rates by at least 0.25% Friday to 0.5%.,23 Jan 2025,2025-01-23
Japan Inflation Hits 3% for First Time Since 2023 Before BOJ,Bloomberg,"Japan's Inflation Jumps to 3%, Giving Support to Rate-Hike Case ... Japan's key inflation gauge hit 3% for the first time in 16 months, underscoring the nation's...",23 Jan 2025,2025-01-23
Japan’s biggest banks hit valuation landmark as BoJ weighs rate rise,Financial Times,Japan's biggest banks are nearing a key valuation level for the first time in almost a decade as investors bet that the Bank of Japan will raise interest rates...,23 Jan 2025,2025-01-23
Bank of Japan Raises Interest Rates to Highest Level Since 2008,The New York Times,"The Bank of Japan on Friday to raise interest rates by a quarter point, to 0.5 percent, another step in its pivot away from the ultralow rates.",23 Jan 2025,2025-01-23
Bank of Japan Hikes Policy Rate to Highest Level in 17 Years,Bloomberg,Good morning. The Bank of Japan raises its interest rate to the highest level in 17 years. Inflation concerns may be making a comeback in the euro area.,23 Jan 2025,2025-01-23
Bitcoin Steady Near $104K After Bank of Japan Delivers Hawkish Rate Hike,CoinDesk,"Risk assets, including BTC, held steady while the Japanese yen rose after the BOJ hiked rates to the highest in 17 years.",23 Jan 2025,2025-01-23
"Hawkish Bank of Japan Signals Will Buoy Yen, Strategists Say",Bloomberg.com,"The yen is primed for further gains after the Bank of Japan sent hawkish signals while raising the benchmark interest rate, according to strategists.",23 Jan 2025,2025-01-23
USD/JPY: Japanese Yen Drops Ahead of BoJ’s Key Interest Rate Decision,Investing.com,Market Analysis by covering: US Dollar Japanese Yen. Read 's Market Analysis on Investing.com.,23 Jan 2025,2025-01-23
Bank of Japan hikes rates - as widely expected,investingLive,"BoJ benchmark rate +25 bp to 0.5%, the highest since 2008 and the biggest rate hike since February 2007.",23 Jan 2025,2025-01-23
BOJ raises short-term interest rates to 0.5% in widely expected move,Yahoo Finance,"The Bank of Japan raised interest rates on Friday in a widely expected move, reflecting its growing optimism that wages will continue rising and keep...",23 Jan 2025,2025-01-23
BoJ Expected To Hike Interest Rates To 0.5% In 2025,Finimize,"Japan braces for potential market shifts as BoJ raises rates and reacts to Trump's policy plans, seeking stability in volatile times.",23 Jan 2025,2025-01-23
"Bank of Japan raises interest rate to about 0.5%, citing higher wages and inflation",AP News,"The Bank of Japan raised its key interest rate to about 0.5% from 0.25% Friday, noting that inflation is holding at a desirable target level.",23 Jan 2025,2025-01-23
Japan plans interest rate hike while monitoring yen carry liquidation risks - CHOSUNBIZ,Chosunbiz,"The Bank of Japan's interest rate hike is likely to trigger yen CARRY trade liquidation again, adding that this could dampen the heat of the Trump trade.",23 Jan 2025,2025-01-23
Bank of Japan raises rates to highest in 17 years,BBC,The move comes hours after economic data showed prices rose last month at the fastest pace in 16 months.,23 Jan 2025,2025-01-23
Anticipated Rate Decisions Sway Australian And New Zealand Dollars,Finimize,"The Bank of Japan's expected interest rate move challenges the stability of AUD and NZD against the yen, while domestic policies hint at potential rate...",23 Jan 2025,2025-01-23
Bank of Japan meet on Friday - will it be the fifth rate hike in 20 years?,investingLive,The BoJ meeting is on Thursday and Friday - a rate hike is expected to be announced.,22 Jan 2025,2025-01-22
Has the Bond Market Bottomed? The Bank of Japan May Have the Answer,tastylive,"The Bank of Japan (BOJ) is expected to deliver 50 basis points (bps) in hikes this year. The next most hawkish stance is priced in for the U.S. Federal Reserve,...",22 Jan 2025,2025-01-22
Is the Bank of Japan raising interest rates by the largest margin in 18 years? Tomorrow could be a key moment for both Japan and the global market.,富途牛牛,The market generally anticipates that the Bank of Japan is likely to raise interest rates again after a six-month hiatus.,22 Jan 2025,2025-01-22
Bank of Japan Expected to Raise Interest Rates by Most in 18 Years,Bloomberg,Governor Kazuo Ueda and his board will likely decide to increase the overnight call rate to 0.5% at the conclusion of their two-day meeting. The 25 basis point...,22 Jan 2025,2025-01-22
"Bank of Japan is expected to hike rates this week, CNBC survey shows",CNBC,"The Bank of Japan is expected to raise its benchmark interest rate this week by 25 basis points. A hike will put the BOJ's key rate at 0.5%,...",21 Jan 2025,2025-01-21
Japan Business Lobby Cites Positive Price Trend Ahead of BOJ,Bloomberg.com,"The head of Japan's biggest business lobby said he sees signs that demand-led price growth is underway, in a bullish assessment of the inflation environment...",21 Jan 2025,2025-01-21
USD/JPY: Yen Stable Against Dollar Near ¥155 Ahead of Bank of Japan Rate Decision,TradingView,Markets are pricing in a 25-basis-point hike in Japan's interest rates on Friday. But it's the Bank of Japan — anything can happen...,21 Jan 2025,2025-01-21
BOJ Heads Toward Rate Hike as Markets Take Trump in Stride,Bloomberg,"Bank of Japan Governor Kazuo Ueda is on track to raise interest rates to the highest level since 2008 on Friday, after global financial markets responded with...",21 Jan 2025,2025-01-21
Japanese Labor Talks Forecast Big Wage Hikes; BOJ Interest Rate Decision Looms,investingLive,"Keidanren and unions start annual negotiations for substantial wage increases. Large firms to offer 4.74% raise, with bold targets set by Rengo.",21 Jan 2025,2025-01-21
"Bank of Japan is walking a 'very tight rope' as next rate decision draws closer, says strategist","YouTube
 · CNBC International Live","Andrew Jackson, head of Japanese equity strategy at Ortus Advisors, discusses the Bank of Japan's upcoming interest rate decision.",20 Jan 2025,2025-01-20
