headline,source,intro,date
Economist on Bank of Japan raising interest rates to highest in 17 years,"YouTube
 · CNA",The Bank of Japan (BOJ) raised interest rates on Friday (Jan 24) to their highest since the 2008 global financial crisis and revised up its inflation...,24 Jan 2025
BOJ raises interest rates to highest in 17 years | REUTERS,"YouTube
 · Reuters",The Bank of Japan raised interest rates to their highest since the 2008 global financial crisis and revised up its inflation forecasts underscoring its...,24 Jan 2025
"Japan Hikes Rates, Solidifying Exit From Rock-Bottom Borrowing Costs",Bloomberg,The Bank of Japan raised its key policy rate Friday to the highest level since 2008 and took a more bullish view on the strength of inflation.,24 Jan 2025
Japan’s Central Bank Drops the Drama and Wins on Rates,Bloomberg,"The Bank of Japan governor needed Friday's interest-rate hike to be boring. By that yardstick, he's notched a win.",24 Jan 2025
Bank of Japan raises interest rate to 17-year high,China Daily,"The Bank of Japan (BOJ) on Friday raised its policy interest rate to the highest level in 17 years, marking another step to unwind its long-standing ultra-...",24 Jan 2025
"Inflation in Japan jumps to 3%, supporting the BOJ's rate-hike case",The Japan Times,"The solid inflation data support the case for the Bank of Japan to raise interest rates on Friday, a move widely anticipated by markets and economists.",24 Jan 2025
"Bank Of Japan Hikes Interest Rate To 17-Year High, Signals More",Channels Television,The Bank of Japan hiked interest rates on Friday to their highest level in 17 years and signalled more were in the pipeline despite fears of turmoil under US...,24 Jan 2025
Bank of Japan raises interest rates to highest level since 2008 at 0.5%,Business Standard,"Bank of Japan Interest Rate Hike today, January 24: The hike is part of the BOJ's plan to gradually increase rates to a neutral level of around 1% to...",24 Jan 2025
Bank of Japan raises interest rate to about 0.5%,Investment Executive,"Bank of Japan raises interest rate to about 0.5% ... The Bank of Japan raised its key interest rate to about 0.5% from 0.25% Friday, noting that inflation is...",24 Jan 2025
"Bank Of Japan Hikes Interest Rate To 17-Year High, Signals More",Channels Television,The Bank of Japan hiked interest rates on Friday to their highest level in 17 years and signalled more were in the pipeline despite fears of turmoil under US...,24 Jan 2025
Bank of Japan raises interest rates to highest level since 2008 at 0.5%,Business Standard,"Bank of Japan Interest Rate Hike today, January 24: The hike is part of the BOJ's plan to gradually increase rates to a neutral level of around 1% to...",24 Jan 2025
Bank of Japan Rate Hike Fails To Rattle Crypto Markets Like the Last Time,CCN.com,"BoJ raises interest rates amid rising inflation and wage growth, while Trump's pro-crypto executive order counters potential market fallout.",24 Jan 2025
Bank of Japan raises interest rates to highest level in 17 years,Financial Times,"The BoJ's decision, by an 8-1 vote, raised the policy rate from 0.25 per cent to its highest level since the 2008 global financial crisis. The move followed...",24 Jan 2025
"Bank of Japan raises interest rate to about 0.5%, citing higher wages, inflation",Mint,"The Bank of Japan raised its key interest rate to about 0.5% from 0.25% Friday, noting that inflation is holding at a desirable target level.",24 Jan 2025
Japan raises interest rates to highest level since 2008,NewsBytes,The Bank of Japan (BOJ) has raised its short-term policy rate by a 25 basis points to 0.5%. This is the first rate hike since July 2024 and the highest level...,24 Jan 2025
Economists expect more interest rate hikes from Bank of Japan this year,CNA,Japan's central bank has hiked interest rates as expected to a 17-year high as it continues on a path to normalise its monetary policy. On Friday (...,24 Jan 2025
Bank of Japan ups interest rates to highest in 17 years,RTE.ie,Bank of Japan raises interest rates to highest in 17 years ... The Bank of Japan raised interest rates today to their highest since the 2008 global financial...,24 Jan 2025
Japan raises interest rates to highest level in 17 years,CNN,"At its two-day meeting concluding on Friday, the BOJ raised its short-term policy rate from 0.25% to 0.5%, a level Japan has not seen in 17 years. It was made...",24 Jan 2025
Investors react to interest rate hike from BOJ,Mint,"SINGAPORE, Jan 24 (Reuters) - The Bank of Japan raised interest rates on Friday to their highest since the 2008 global financial crisis, underscoring its...",24 Jan 2025
Bank of Japan expected to hike interest rate,The Standard (HK),"The BoJ is expected to raise its benchmark lending rate by 25 points to 0.50 percent, the highest since 2008, when the BoJ cut its rate from 0.75 percent during...",24 Jan 2025
Japan’s Central Bank Drops the Drama and Wins on Rates,Bloomberg,"The Bank of Japan governor needed Friday's interest-rate hike to be boring. By that yardstick, he's notched a win.",24 Jan 2025
Bank of Japan raises interest rate to 17-year high,China Daily,"The Bank of Japan (BOJ) on Friday raised its policy interest rate to the highest level in 17 years, marking another step to unwind its long-standing ultra-...",24 Jan 2025
Asian shares gain after S&P 500 climbs to a record and Bank of Japan raises rate,朝日新聞,HONG KONG--Asian shares advanced Friday after U.S. stocks rose to a record and the Bank of Japan raised its key lending rate.,24 Jan 2025
Bank of Japan hikes interest rate,Inquirer.net,The Bank of Japan hiked interest rates on Friday to their highest level in 17 years despite fears of economic turmoil under US President Donald Trump.,24 Jan 2025
"Bank of Japan raises policy rate to 0.5%, highest in 17 years",وكالة أنباء الإمارات,"The Bank of Japan on Friday raised its policy interest rate to 0.5 percent from 0.25 percent, its highest level in about 17 years, reported Kyodo News.",24 Jan 2025
Bank of Japan raises interest rates to highest level in 17 years,Euronews.com,"The Bank of Japan (BOJ) raised its key interest rate to about 0.5% from 0.25% on Friday, noting that inflation is holding at a desirable target level.",24 Jan 2025
Yen Rallies After Bank Of Japan Hikes Rates To Highest In 17 Years,StratNews Global,"The Bank of Japan (BOJ) raised interest rates on Friday to their highest level since the 2008 financial crisis, signalling confidence that higher wages will...",24 Jan 2025
Bank of Japan raises interest rates to the highest level since 2008,CNBC TV18,"Ueda and his fellow board members lifted the overnight call rate by a quarter-percentage point to 0.5% at the end of a two-day meeting, according to a statement...",24 Jan 2025
Bank of Japan hikes interest rates to highest level in 17 years,The Independent,"The central bank raised the policy rate to “around 0.5 per cent” by a vote of 8-1, concluding a two-day policy meeting on Friday. Toyoaki Nakamura was the only...",24 Jan 2025
Yen Rallies After Bank Of Japan Hikes Rates To Highest In 17 Years,StratNews Global,"The Bank of Japan (BOJ) raised interest rates on Friday to their highest level since the 2008 financial crisis, signalling confidence that higher wages will...",24 Jan 2025
Bank of Japan hikes interest rates to highest level in 17 years,The Independent,"The central bank raised the policy rate to “around 0.5 per cent” by a vote of 8-1, concluding a two-day policy meeting on Friday. Toyoaki Nakamura was the only...",24 Jan 2025
"Bank of Japan raises interest rates to highest in 17 years, yen jumps",Reuters,The Bank of Japan raised interest rates on Friday to their highest since the 2008 global financial crisis and revised up its inflation forecasts.,24 Jan 2025
Asian shares gain after S&P 500 climbs to a record and Bank of Japan raises rate,朝日新聞,HONG KONG--Asian shares advanced Friday after U.S. stocks rose to a record and the Bank of Japan raised its key lending rate.,24 Jan 2025
Bank of Japan raises interest rates to highest level in 17 years,Euronews.com,"The Bank of Japan (BOJ) raised its key interest rate to about 0.5% from 0.25% on Friday, noting that inflation is holding at a desirable target level.",24 Jan 2025
Bank of Japan’s Ueda Leaves Door for Future Rate Hikes Open,Bloomberg.com,Thanks for joining us today for the Bank of Japan interest rate decision and Governor Kazuo Ueda's press conference. Here are the key takeaways.,24 Jan 2025
Bank of Japan Raises Interest Rates to Highest Level Since 2008,The New York Times,"The Bank of Japan on Friday to raise interest rates by a quarter point, to 0.5 percent, another step in its pivot away from the ultralow rates.",23 Jan 2025
"Bank of Japan set to raise rates on Friday, report says",The Japan Times,"The move would mark the central bank's first rate hike since July last year, when it increased rates to 0.25%.",23 Jan 2025
Bank of Japan interest rate decision January 2025 preview,IG,"The Bank of Japan (BoJ) is set to convene its monetary policy meeting on January 23–24, 2025, amid heightened market anticipation of a potential interest rate...",23 Jan 2025
Tokyo apartment prices retreat in 2024 as market calms,The Japan Times,The decrease — the first in six years — came after prices rose nearly 30% to a record high in 2023 when several luxury condos went up for sale.,23 Jan 2025
